date,section,q_star_width_norm_mean,q_star_width_norm_p95,level_upstream_m_mean,sample_count
2020-05-04,section_1,4.625550160965376e-07,1.5284821294699002e-10,0.3664881739130435,8625
2020-05-04,section_2,1.737689641291294e-07,7.393202061353131e-09,0.3664881739130435,8625
2020-05-04,section_3,7.151019347047235e-07,1.2432823768673758e-10,0.3664881739130435,8625
2020-05-04,section_4,8.217812733081107e-07,3.733317323013696e-10,0.3664881739130435,8625
2020-05-04,section_5,5.116636368044714e-07,1.0280287099055731e-10,0.3664881739130435,8625
2020-05-04,section_6,4.212712957330359e-06,5.541741075484136e-11,0.3664881739130435,8625
2020-05-04,section_7,6.266275345876841e-06,3.2679738562091206e-11,0.3664881739130435,8625
2020-05-04,section_8,9.181339046570996e-06,1.5032637799135603e-08,0.3664881739130435,8625
2020-05-05,section_1,7.479634356173159e-12,6.164476735997736e-11,0.380902349537037,8640
2020-05-05,section_2,6.825907624643669e-09,1.18363773626162e-08,0.380902349537037,8640
2020-05-05,section_3,1.7830175562400905e-11,9.352993053763291e-11,0.380902349537037,8640
2020-05-05,section_4,0.0,0.0,0.380902349537037,8640
2020-05-05,section_5,2.5963841026375396e-09,6.088560246403541e-09,0.380902349537037,8640
2020-05-05,section_6,1.1275635713924883e-10,3.134882155244017e-10,0.380902349537037,8640
2020-05-05,section_7,0.0,0.0,0.380902349537037,8640
2020-05-05,section_8,1.8646113886022105e-08,2.546439897238884e-08,0.380902349537037,8640
2020-05-06,section_1,3.029713559630257e-09,6.224280795833885e-09,0.5473260648148147,8640
2020-05-06,section_2,3.7751207086551496e-08,6.808871625547552e-08,0.5473260648148147,8640
2020-05-06,section_3,8.656566877948571e-09,2.593995927613488e-08,0.5473260648148147,8640
2020-05-06,section_4,1.1325132248934263e-09,3.6893827217199075e-09,0.5473260648148147,8640
2020-05-06,section_5,5.5370673709584276e-09,1.5425831281984317e-08,0.5473260648148147,8640
2020-05-06,section_6,4.227891799990668e-09,8.930231818437782e-09,0.5473260648148147,8640
2020-05-06,section_7,1.4331267511174224e-09,5.203703633468828e-09,0.5473260648148147,8640
2020-05-06,section_8,5.4866018794959184e-08,8.612625626906683e-08,0.5473260648148147,8640
2020-05-07,section_1,1.6285376432080583e-08,2.8571437726927763e-08,0.7479733101851852,8640
2020-05-07,section_2,9.362671028190465e-08,1.799358108061126e-07,0.7479733101851852,8640
2020-05-07,section_3,1.287107961072319e-07,2.377399381617397e-07,0.7479733101851852,8640
2020-05-07,section_4,1.108314318678902e-08,1.8791052981886253e-08,0.7479733101851852,8640
2020-05-07,section_5,1.4019839449259988e-08,2.2314279303149912e-08,0.7479733101851852,8640
2020-05-07,section_6,2.201225507718683e-08,3.4361391909826194e-08,0.7479733101851852,8640
2020-05-07,section_7,2.3560311482502528e-08,4.1867178615369394e-08,0.7479733101851852,8640
2020-05-07,section_8,5.2997756337946775e-06,1.3102670113310874e-07,0.7479733101851852,8640
2020-05-08,section_1,1.4949134389425242e-06,2.933676689841739e-06,0.9353311342592592,8640
2020-05-08,section_2,8.774681297341757e-07,1.5066124850550692e-06,0.9353311342592592,8640
2020-05-08,section_3,4.528361221277039e-07,6.242221344149469e-07,0.9353311342592592,8640
2020-05-08,section_4,4.147222357210893e-08,6.12652903549628e-08,0.9353311342592592,8640
2020-05-08,section_5,3.687078741064349e-08,5.055340031399282e-08,0.9353311342592592,8640
2020-05-08,section_6,1.040766377500781e-07,1.92694473623117e-07,0.9353311342592592,8640
2020-05-08,section_7,1.3916025788418581e-07,2.419442677039359e-07,0.9353311342592592,8640
2020-05-08,section_8,1.2326160683811648e-07,1.410906091843111e-07,0.9353311342592592,8640
2020-05-09,section_1,3.39907488078625e-06,3.576434352389508e-06,0.9728134722222224,8640
2020-05-09,section_2,1.8810764085865632e-06,2.026670038280666e-06,0.9728134722222224,8640
2020-05-09,section_3,6.175353755480026e-07,6.409593792376529e-07,0.9728134722222224,8640
2020-05-09,section_4,6.743992590216245e-08,7.553854429748918e-08,0.9728134722222224,8640
2020-05-09,section_5,6.126202552809564e-08,6.868573831928245e-08,0.9728134722222224,8640
2020-05-09,section_6,2.94895850379249e-07,3.735455122231124e-07,0.9728134722222224,8640
2020-05-09,section_7,2.778360679418004e-07,3.10413135802744e-07,0.9728134722222224,8640
2020-05-09,section_8,1.4685968919109774e-07,1.609797717488908e-07,0.9728134722222224,8640
2020-05-10,section_1,3.173451683401132e-06,3.4874451833640378e-06,0.9729527954624378,8639
2020-05-10,section_2,1.8106159525990856e-06,1.999696600882446e-06,0.9729527954624378,8639
2020-05-10,section_3,5.662492163567799e-07,5.88269571879135e-07,0.9729527954624378,8639
2020-05-10,section_4,6.842375842361405e-08,7.304712761760006e-08,0.9729527954624378,8639
2020-05-10,section_5,6.84510353052408e-08,7.334347335790434e-08,0.9729527954624378,8639
2020-05-10,section_6,3.978074657753914e-07,4.14787858321571e-07,0.9729527954624378,8639
2020-05-10,section_7,3.085616383592938e-07,3.245299930163269e-07,0.9729527954624378,8639
2020-05-10,section_8,1.3503858702639546e-07,1.425648990110294e-07,0.9729527954624378,8639
2020-05-11,section_1,3.509499970746192e-06,4.447843457878442e-06,1.0205903009259258,8640
2020-05-11,section_2,1.974862566643381e-06,2.4885789774773688e-06,1.0205903009259258,8640
2020-05-11,section_3,5.659715215188403e-07,5.997531018021765e-07,1.0205903009259258,8640
2020-05-11,section_4,7.432987990110204e-08,8.736396700138139e-08,1.0205903009259258,8640
2020-05-11,section_5,8.374143945338685e-08,1.0234005127505013e-07,1.0205903009259258,8640
2020-05-11,section_6,5.915589068355947e-07,1.0020674966685715e-06,1.0205903009259258,8640
2020-05-11,section_7,5.026732715637259e-07,1.0918874143155314e-06,1.0205903009259258,8640
2020-05-11,section_8,1.43095104007414e-07,1.6579442298943602e-07,1.0205903009259258,8640
2020-05-12,section_1,5.9372017191507055e-06,7.365967700437532e-06,1.2138548263888889,8640
2020-05-12,section_2,3.536190033548556e-06,4.895503212249751e-06,1.2138548263888889,8640
2020-05-12,section_3,5.9805465349124e-07,6.867784275457927e-07,1.2138548263888889,8640
2020-05-12,section_4,1.2359770304194317e-07,1.6531278533339313e-07,1.2138548263888889,8640
2020-05-12,section_5,1.4530859886172533e-07,1.852694291087289e-07,1.2138548263888889,8640
2020-05-12,section_6,2.863452396380069e-06,4.713149122024854e-06,1.2138548263888889,8640
2020-05-12,section_7,4.227581350176608e-06,7.364085103644824e-06,1.2138548263888889,8640
2020-05-12,section_8,2.133537719248749e-07,2.526833206675405e-07,1.2138548263888889,8640
2020-05-13,section_1,9.17010898304146e-06,1.1560378748980552e-05,1.417031574074074,8640
2020-05-13,section_2,7.034678440060258e-06,1.0364318300787487e-05,1.417031574074074,8640
2020-05-13,section_3,7.758573753799227e-07,9.278389122679932e-07,1.417031574074074,8640
2020-05-13,section_4,2.985124336485436e-07,4.550146761265489e-07,1.417031574074074,8640
2020-05-13,section_5,2.3688703561841374e-07,2.877363667775512e-07,1.417031574074074,8640
2020-05-13,section_6,6.850226383613507e-06,8.528123610926696e-06,1.417031574074074,8640
2020-05-13,section_7,1.0143554486079104e-05,1.2679428843330093e-05,1.417031574074074,8640
2020-05-13,section_8,3.100335778500526e-07,3.597771454924905e-07,1.417031574074074,8640
2020-05-14,section_1,1.2823296725852332e-05,1.390411292153287e-05,1.620183923611111,8640
2020-05-14,section_2,1.1905108033299316e-05,1.3058509777741729e-05,1.620183923611111,8640
2020-05-14,section_3,1.070433402261291e-06,1.1439056119080844e-06,1.620183923611111,8640
2020-05-14,section_4,5.576625146544874e-07,6.098275312107621e-07,1.620183923611111,8640
2020-05-14,section_5,3.537627615728548e-07,3.9136457931834777e-07,1.620183923611111,8640
2020-05-14,section_6,9.968343361034536e-06,1.0903794768921272e-05,1.620183923611111,8640
2020-05-14,section_7,1.4862111423740434e-05,1.5921384097186998e-05,1.620183923611111,8640
2020-05-14,section_8,3.814628835990586e-07,4.2201448143493814e-07,1.620183923611111,8640
2020-05-15,section_1,1.493499170110535e-05,1.5604675218578697e-05,1.8032980092592592,8640
2020-05-15,section_2,1.4794537489238665e-05,1.580246903284895e-05,1.8032980092592592,8640
2020-05-15,section_3,1.285214119647589e-06,1.3578770699314022e-06,1.8032980092592592,8640
2020-05-15,section_4,7.120120635440654e-07,7.579795860317481e-07,1.8032980092592592,8640
2020-05-15,section_5,5.169521520685823e-07,5.698912791017868e-07,1.8032980092592592,8640
2020-05-15,section_6,1.3320298357460136e-05,1.440711793704414e-05,1.8032980092592592,8640
2020-05-15,section_7,2.009222132831633e-05,2.163852144027191e-05,1.8032980092592592,8640
2020-05-15,section_8,4.706185333302224e-07,5.123127177816297e-07,1.8032980092592592,8640
2020-05-16,section_1,1.2247128308690078e-05,1.4941675983936571e-05,1.834896921296296,8640
2020-05-16,section_2,1.1575500692465927e-05,1.4924794775289e-05,1.834896921296296,8640
2020-05-16,section_3,1.1493561036838483e-06,1.3174232185432503e-06,1.834896921296296,8640
2020-05-16,section_4,5.351237807800222e-07,7.093998514921046e-07,1.834896921296296,8640
2020-05-16,section_5,4.296994697626874e-07,5.198277050234731e-07,1.834896921296296,8640
2020-05-16,section_6,1.1017278523798627e-05,1.2872743464203083e-05,1.834896921296296,8640
2020-05-16,section_7,1.670811424162242e-05,1.9687597614204288e-05,1.834896921296296,8640
2020-05-16,section_8,4.0778027581461457e-07,4.392375939730118e-07,1.834896921296296,8640
2020-05-17,section_1,1.0902493651441529e-05,1.1109888646329318e-05,1.8353226041666668,8640
2020-05-17,section_2,9.917880788609975e-06,1.021729102019436e-05,1.8353226041666668,8640
2020-05-17,section_3,1.0527310921152255e-06,1.0846100348026875e-06,1.8353226041666668,8640
2020-05-17,section_4,4.742592680154253e-07,5.069591709008927e-07,1.8353226041666668,8640
2020-05-17,section_5,4.413781344772418e-07,4.822677454381447e-07,1.8353226041666668,8640
2020-05-17,section_6,1.2279561404141549e-05,1.4118406337193549e-05,1.8353226041666668,8640
2020-05-17,section_7,1.8766713905195163e-05,2.199583869084856e-05,1.8353226041666668,8640
2020-05-17,section_8,4.288758518446401e-07,4.934100250039517e-07,1.8353226041666668,8640
2020-05-18,section_1,1.1702180782981215e-05,1.3050522561154752e-05,1.884866689814815,8640
2020-05-18,section_2,1.1000455544231882e-05,1.2831337976621283e-05,1.884866689814815,8640
2020-05-18,section_3,1.132971947539263e-06,1.236895955392004e-06,1.884866689814815,8640
2020-05-18,section_4,5.339225428276073e-07,6.329334959776162e-07,1.884866689814815,8640
2020-05-18,section_5,4.7598754816732613e-07,5.3851405401534e-07,1.884866689814815,8640
2020-05-18,section_6,1.31438389454376e-05,1.4835405457696192e-05,1.884866689814815,8640
2020-05-18,section_7,1.9825143429675293e-05,2.215005063246688e-05,1.884866689814815,8640
2020-05-18,section_8,4.405056888983334e-07,4.934100250039517e-07,1.884866689814815,8640
