substep,detached_particles,detached_fraction,broken_bonds,broken_bond_fraction,porosity,permeability_multiplier,returned_detachment_multiplier
0,15,0.19480519480519481,31,0.22794117647058823,0.37330022918258216,1.869061485486678,1.525974025974026
1,27,0.35064935064935066,52,0.38235294117647056,0.41370511841100077,2.9067545914267217,1.946753246753247
2,38,0.4935064935064935,73,0.5367647058823529,0.45177234530175703,4.329172985621325,2.3324675324675326
3,44,0.5714285714285714,84,0.6176470588235294,0.4722689075630252,5.337164495431027,2.5428571428571427
4,49,0.6363636363636364,92,0.6764705882352942,0.4886631016042781,6.297704318468438,2.7181818181818183
5,53,0.6883116883116883,99,0.7279411764705882,0.502131398013751,7.207597880633424,2.858441558441559
6,57,0.7402597402597403,106,0.7794117647058824,0.5155996944232238,8.243222595380736,2.998701298701299
7,62,0.8051948051948052,115,0.8455882352941176,0.5325821237585944,9.757015845040815,3.1740259740259744
8,67,0.8701298701298701,124,0.9117647058823529,0.5495645530939648,11.544068884920332,3.3493506493506495
9,71,0.922077922077922,130,0.9558823529411765,0.56244461420932,13.114179088236074,3.4896103896103896
10,74,0.961038961038961,134,0.9852941176470589,0.5718105423987777,14.389722674082085,3.594805194805195
11,76,0.987012987012987,136,1.0,0.5776623376623377,15.250020488415931,3.664935064935065
12,77,1.0,136,1.0,0.58,15.608216854450102,3.7
13,77,1.0,136,1.0,0.58,15.608216854450102,3.7
14,77,1.0,136,1.0,0.58,15.608216854450102,3.7
15,77,1.0,136,1.0,0.58,15.608216854450102,3.7
16,77,1.0,136,1.0,0.58,15.608216854450102,3.7
17,77,1.0,136,1.0,0.58,15.608216854450102,3.7
18,77,1.0,136,1.0,0.58,15.608216854450102,3.7
19,77,1.0,136,1.0,0.58,15.608216854450102,3.7
20,77,1.0,136,1.0,0.58,15.608216854450102,3.7
21,77,1.0,136,1.0,0.58,15.608216854450102,3.7
22,77,1.0,136,1.0,0.58,15.608216854450102,3.7
23,77,1.0,136,1.0,0.58,15.608216854450102,3.7
24,77,1.0,136,1.0,0.58,15.608216854450102,3.7
25,77,1.0,136,1.0,0.58,15.608216854450102,3.7
26,77,1.0,136,1.0,0.58,15.608216854450102,3.7
27,77,1.0,136,1.0,0.58,15.608216854450102,3.7
