time_h,path_order,cell_i,cell_j,x,y,erosive_intensity
0.0,0,39,3,0.9875,0.175,1.297483829048045
0.0,1,38,3,0.9625,0.175,1.1680049962141352
0.0,2,37,3,0.9375,0.175,1.045868309874721
0.0,3,36,3,0.9125,0.175,0.9474985028747168
0.0,4,35,3,0.8875,0.175,0.8824133669315596
0.0,5,34,3,0.8625,0.175,0.8539686975477628
0.0,6,33,3,0.8375,0.175,0.8623097408737352
0.0,7,32,3,0.8125,0.175,0.9058630204056167
0.0,8,31,3,0.7875,0.175,0.9802295719844062
0.0,9,30,3,0.7625,0.175,1.0752852890829168
0.0,10,29,3,0.7375,0.175,1.173579347572716
0.0,11,28,3,0.7125,0.175,1.2542659794993818
0.0,12,27,3,0.6875,0.175,1.3019600025314662
0.0,13,26,3,0.6625,0.175,1.3124556344367861
0.0,14,25,3,0.6375,0.175,1.2901917736527262
0.0,15,24,3,0.6125,0.175,1.2423883356908978
0.0,16,23,3,0.5875,0.175,1.1761284393870262
0.0,17,22,3,0.5625,0.175,1.0986997312936835
0.0,18,21,3,0.5375,0.175,1.0182887769744093
0.0,19,20,3,0.5125,0.175,0.9433494743746037
0.0,20,19,3,0.4875,0.175,0.8811859702984426
0.0,21,18,3,0.4625,0.175,0.8369714638998984
0.0,22,17,3,0.4375,0.175,0.8136494204309926
0.0,23,16,3,0.4125,0.175,0.8123289743837259
0.0,24,15,3,0.3875,0.175,0.8326100843294142
0.0,25,14,3,0.3625,0.175,0.8725371960606033
0.0,26,13,3,0.3375,0.175,0.9282479146721827
0.0,27,12,3,0.3125,0.175,0.9937427631943122
0.0,28,11,3,0.2875,0.175,1.0614052000996657
0.0,29,10,3,0.2625,0.175,1.1235939686625944
0.0,30,9,3,0.2375,0.175,1.1747289899615898
0.0,31,8,3,0.2125,0.175,1.2126053976484918
0.0,32,7,3,0.1875,0.175,1.2381544559626252
0.0,33,7,4,0.1875,0.225,1.2593943976432744
0.0,34,7,5,0.1875,0.275,1.2779278768476248
0.0,35,6,5,0.1625,0.275,1.29610102522147
0.0,36,6,6,0.1625,0.325,1.3124311928462535
0.0,37,5,6,0.1375,0.325,1.3211252786650667
0.0,38,4,6,0.1125,0.325,1.3234211416759945
0.0,39,3,6,0.0875,0.325,1.3227914661178972
0.0,40,2,6,0.0625,0.325,1.3212649955170883
18.0,0,39,3,0.9875,0.175,2.011788724548849
18.0,1,39,4,0.9875,0.225,2.0257545844199565
18.0,2,38,4,0.9625,0.225,1.8160992446467823
18.0,3,37,4,0.9375,0.225,1.6179031302979237
18.0,4,36,4,0.9125,0.225,1.45598959793311
18.0,5,35,4,0.8875,0.225,1.3455399075984278
18.0,6,34,4,0.8625,0.225,1.2922211037764355
18.0,7,33,4,0.8375,0.225,1.2960349679993077
18.0,8,32,4,0.8125,0.225,1.3534604945786042
18.0,9,31,4,0.7875,0.225,1.4560452059645397
18.0,10,30,4,0.7625,0.225,1.5866581093752055
18.0,11,29,4,0.7375,0.225,1.7180536152220447
18.0,12,28,4,0.7125,0.225,1.8194506675805788
18.0,13,27,4,0.6875,0.225,1.8691205151848727
18.0,14,26,4,0.6625,0.225,1.861351204015946
18.0,15,25,4,0.6375,0.225,1.8021057470778798
18.0,16,24,4,0.6125,0.225,1.701357176241294
18.0,17,23,4,0.5875,0.225,1.5701883519346702
18.0,18,22,4,0.5625,0.225,1.4217135231449856
18.0,19,21,4,0.5375,0.225,1.2711104768592991
18.0,20,20,4,0.5125,0.225,1.133166322214781
18.0,21,19,4,0.4875,0.225,1.019415494877648
